ablation,run,epoch,train_loss,val_loss,train_acc,val_acc,ema_val_acc,total_time_seconds
fp32,2,6,1.0596,1.0757,0.8965,0.8921,,43.5071
fp32,2,7,1.0469,1.0304,0.8965,0.9199,,49.7269
fp32,2,8,1.0,1.0204,0.9375,0.9241,,55.9401
fp32,2,9,0.9551,1.0003,0.9609,0.9337,,62.1377
fp32,2,10,0.9307,0.9902,0.9707,0.94,0.9418,68.3282
fp32,2,11,0.9155,0.9941,0.9824,0.9373,0.944,74.5163
fp32,3,0,1.5459,1.4509,0.6074,0.6944,,6.2211
fp32,3,1,1.2832,1.5079,0.7832,0.6656,,12.4606
fp32,3,2,1.208,1.1724,0.834,0.846,,18.6833
fp32,3,3,1.1592,1.1671,0.8477,0.8474,,24.9166
fp32,3,4,1.1191,1.137,0.8574,0.862,,31.1546
fp32,3,5,1.0537,1.0838,0.9043,0.89,,37.3841
fp32,3,6,1.0547,1.0828,0.9141,0.8866,,43.582
fp32,3,7,1.001,1.0278,0.9492,0.9199,,49.7723
fp32,3,8,0.9849,1.0234,0.9473,0.9237,,55.943
fp32,3,9,0.9321,0.9964,0.9766,0.9357,,62.0971
fp32,3,10,0.9204,0.9955,0.9824,0.9358,0.9428,68.261
fp32,3,11,0.9209,0.9906,0.9824,0.9381,0.9437,74.3998
no_ema,1,0,1.5703,1.4132,0.5879,0.7083,,6.1741
no_ema,1,1,1.3027,1.3071,0.7754,0.7703,,12.3329
no_ema,1,2,1.1973,1.2631,0.8164,0.7884,,18.5102
no_ema,1,3,1.1367,1.1792,0.8535,0.8362,,24.6909
no_ema,1,4,1.0957,1.1261,0.8828,0.8655,,30.8805
no_ema,1,5,1.0596,1.1009,0.9004,0.8813,,37.0764
no_ema,1,6,1.0293,1.0592,0.9199,0.8994,,43.2683
no_ema,1,7,1.0088,1.0379,0.9316,0.9126,,49.4347
no_ema,1,8,0.9966,1.0193,0.9355,0.9241,,55.5831
no_ema,1,9,0.9668,0.9978,0.9453,0.9334,,61.7427
no_ema,1,10,0.9224,0.997,0.9824,0.9337,0.9399,67.8879
no_ema,1,11,0.9229,0.9908,0.9824,0.9367,0.943,74.0228
no_ema,2,0,1.5352,1.3463,0.6367,0.7503,,6.1954
no_ema,2,1,1.2656,1.2616,0.7812,0.8001,,12.3937
no_ema,2,2,1.2451,1.1612,0.7988,0.8535,,18.6033
no_ema,2,3,1.1494,1.1784,0.8535,0.8392,,24.8282
no_ema,2,4,1.0879,1.1086,0.8809,0.8737,,31.0259
no_ema,2,5,1.0703,1.1435,0.8887,0.8509,,37.2229
no_ema,2,6,1.0312,1.0677,0.9258,0.8981,,43.4365
no_ema,2,7,1.0156,1.0383,0.9297,0.9154,,49.6352
no_ema,2,8,0.9883,1.0166,0.9414,0.9244,,55.844
no_ema,2,9,0.9258,0.9986,0.9863,0.933,,62.0484
no_ema,2,10,0.9258,0.9938,0.9824,0.9346,0.9426,68.2956
no_ema,2,11,0.9214,0.9906,0.9785,0.9384,0.9458,74.5519
no_ema,3,0,1.5957,1.4031,0.5918,0.7101,,6.2536
no_ema,3,1,1.2012,1.3199,0.8457,0.7678,,12.4737
no_ema,3,2,1.2041,1.1957,0.8125,0.8326,,18.6922
no_ema,3,3,1.0986,1.1398,0.8887,0.8646,,24.8911
no_ema,3,4,1.1631,1.0972,0.8418,0.8869,,31.0763
no_ema,3,5,1.0664,1.0765,0.9043,0.8946,,37.2511
no_ema,3,6,1.0498,1.061,0.916,0.9028,,43.3846
no_ema,3,7,1.0293,1.0376,0.916,0.9169,,49.5055
no_ema,3,8,0.9854,1.0175,0.9414,0.9232,,55.668
no_ema,3,9,0.9634,0.9972,0.9531,0.9338,,61.8306
no_ema,3,10,0.9194,0.9937,0.9863,0.9361,0.942,68.0257
no_ema,3,11,0.9194,0.9901,0.9824,0.9382,0.9433,74.263
no_label_smooth,1,0,1.5293,1.3278,0.625,0.7555,,6.2458
no_label_smooth,1,1,1.2402,1.3663,0.8145,0.7331,,12.4996
no_label_smooth,1,2,1.167,1.2709,0.8496,0.7891,,18.7312
no_label_smooth,1,3,1.1328,1.1716,0.8613,0.8394,,24.9602
no_label_smooth,1,4,1.1191,1.1173,0.8789,0.8735,,31.2004
no_label_smooth,1,5,1.043,1.093,0.9121,0.8862,,37.4378
no_label_smooth,1,6,1.0674,1.0503,0.9121,0.9019,,43.6794
no_label_smooth,1,7,0.9976,1.034,0.9492,0.9148,,49.9078
no_label_smooth,1,8,0.9751,1.015,0.9492,0.9247,,56.147
no_label_smooth,1,9,0.9429,0.9973,0.9707,0.9353,,62.3673
no_label_smooth,1,10,0.938,0.9939,0.9707,0.9344,0.9395,68.5909
no_label_smooth,1,11,0.9199,0.9915,0.9805,0.9369,0.9429,74.8083
no_label_smooth,2,0,1.5361,1.4698,0.6484,0.6661,,6.2246
no_label_smooth,2,1,1.2715,1.2322,0.793,0.8165,,12.4524
no_label_smooth,2,2,1.209,1.2409,0.832,0.7987,,18.6425
no_label_smooth,2,3,1.1338,1.171,0.873,0.8437,,24.8224
no_label_smooth,2,4,1.0928,1.1258,0.8906,0.8652,,30.9857
